Q2,Q3,Q7,Q8,Q11,Q12,Q13,Q13_B,Q13_C,Q13_D,Q13_E,Q13_F,Q14,Q15,Q15_B,Q15_C,Q15_D,Q16,Q17,Q17_B,Q18,Q19,Q19_B,Q19_C,Q19_D,Q19_E,Q19_F,Q19_G,Q19_H,Q20,Q20_B,Q21,Q22,Q22_B,Q23,Q24,Q24_B,Q24_C,Q24_D,Q24_E,Q24_F,Q24_G,Q24_H,Q24_I,Q24_J,Q24_K,Q24_L,Q25
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Good for statistical analysis,NA,No,The R mailing lists,NA,NA,NA,NA,The Bioconductor support site,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
Men,35 or under,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Agree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,NA,NA,Yes,A general user group,NA,NA,NA,NA,NA,Paid local advanced R workshops,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,962
Women,35 or under,Masters or lower,Non-academic,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,No opinion,Yes,Good for statistical analysis,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,It is not relevant (the topics are not interesting to me),NA,NA,NA,Paid local advanced R workshops,NA,NA,NA,NA,NA,NA,NA,NA,73
Women,> 35,Doctorate/Professional,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Agree,Yes,Widely used in my field,NA,No,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798
Women,35 or under,Masters or lower,Non-academic,< 2 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Agree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Facebook,NA,No,NA,NA,I feel too inexperienced,New R user group near me (specify location in comments box),NA,Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,677
Men,35 or under,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Agree,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),New R user group near me aimed at my demographic (specify relevant group in comments box),NA,Paid local advanced R workshops,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,6
Women,35 or under,Doctorate/Professional,Academic,5-10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),NA,NA,Primarily as part of a job or educational course;,No opinion,Disagree,Strongly disagree,Strongly disagree,Yes,Good for visualisation,NA,No,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,No,A user group within a university,NA,Other (please specify),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special facilities at R conferences (give further detail in comments box),916
Men,35 or under,Doctorate/Professional,Academic,5-10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Podcast,NA,No,NA,NA,I am too busy,NA,NA,Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,Special facilities at R conferences (give further detail in comments box),479
Women,35 or under,Masters or lower,Academic,5-10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Strongly agree,Strongly disagree,Agree,Yes,Good for statistical analysis,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,Google/Blogs,Blog,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,200
Women,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,No opinion,Strongly disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,r-bloggers,Blog,NA,No,A general user group,NA,Other (please specify),NA,New R user group near me aimed at my demographic (specify relevant group in comments box),NA,NA,NA,R workshop aimed at my demographic (specify relevant group in comments box),Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,789
Men,35 or under,Doctorate/Professional,Academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,No opinion,No opinion,No opinion,Yes,Free,NA,Yes,NA,NA,NA,NA,NA,The Bioconductor support site,NA,NA,Twitter,NA,No,NA,NA,There is no group nearby/the group is inactive,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,601
Women,35 or under,Doctorate/Professional,Academic,> 10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,No opinion,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,307
Men,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Strongly disagree,Agree,Yes,Wide range of packages,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,903
Men,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Good for visualisation,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,Online forum to discuss R-related issues,NA,NA,21
Women,> 35,NA,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,No opinion,Agree,Yes,Good for statistical analysis,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,I feel too inexperienced,NA,New R user group near me aimed at my demographic (specify relevant group in comments box),NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,812
Men,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,No opinion,Agree,Disagree,No opinion,No,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Just google and use anything listed,Website,NA,Yes,A general user group,NA,NA,NA,NA,Free local introductory R workshops,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
Women,35 or under,Doctorate/Professional,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Strongly disagree,Yes,Good for automating repetitive tasks,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815
Men,35 or under,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,I am too busy,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
Women,> 35,Doctorate/Professional,NA,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,No opinion,Strongly disagree,Agree,Yes,Flexible/extensible/scalable,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),New R user group near me aimed at my demographic (specify relevant group in comments box),Free local introductory R workshops,NA,NA,NA,NA,NA,NA,NA,NA,NA,589
Men,35 or under,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,No opinion,Disagree,No opinion,Yes,Good for reproducible research,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,Other (please specify),New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699
Women,35 or under,Masters or lower,Academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Agree,Agree,Strongly disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,google,Twitter,NA,No,NA,NA,Other (please specify),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237
Men,> 35,Doctorate/Professional,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Disagree,Yes,Flexible/extensible/scalable,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Other (please specify),Blog supplemented with Twitter when new post te piblished,Yes,A general user group,NA,NA,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,821
Women,35 or under,Masters or lower,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,The Bioconductor support site,NA,NA,Podcast,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,34
Women,35 or under,Doctorate/Professional,Non-academic,< 2 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",NA,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Disagree,Yes,Widely used in my field,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,Yes,A general user group,NA,NA,NA,NA,Free local introductory R workshops,Paid local advanced R workshops,NA,NA,NA,NA,NA,NA,NA,NA,803
Women,> 35,Doctorate/Professional,Academic,> 10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Disagree,Disagree,Yes,Good for reproducible research,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,The Bioconductor support site,NA,NA,Mailing list,NA,No,NA,NA,It is not necessary (I have the support I need),New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,Online support group for my demographic (specify relevant group in comments box),Special facilities at R conferences (give further detail in comments box),501
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,NA,NA,NA,NA,NA,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Strongly disagree,Yes,Good for visualisation,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154
Men,> 35,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),NA,NA,Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Strongly disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Agree,Disagree,Disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,It is not relevant (the topics are not interesting to me),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900
Men,> 35,Doctorate/Professional,Non-academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,No opinion,Yes,Good for visualisation,NA,No,NA,NA,NA,NA,NA,NA,NA,Google searches,Facebook,NA,No,NA,NA,I feel too inexperienced,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327
Men,> 35,Doctorate/Professional,Non-academic,> 10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Strongly agree,Strongly disagree,Agree,No,Good for reproducible research,NA,Yes,NA,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,The rOpenSci mailing lists or chat forums,NA,NA,NA,Twitter,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450
Men,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Strongly agree,Strongly agree,No opinion,Agree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,NA,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
Men,35 or under,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Agree,Agree,Agree,Disagree,Yes,Wide range of packages,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,Yes,A general user group,NA,Other (please specify),NA,NA,Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,99
Men,> 35,Doctorate/Professional,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",Primarily as part of a job or educational course;,Agree,No opinion,Disagree,Agree,Yes,Wide range of packages,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Twitter,NA,No,NA,NA,I am too busy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109
Men,35 or under,Doctorate/Professional,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Disagree,Strongly disagree,Yes,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,Other (please specify),NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,641
Men,> 35,Doctorate/Professional,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Agree,Strongly disagree,Strongly disagree,Yes,Good for automating repetitive tasks,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Mailing list,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912
Men,35 or under,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Agree,No opinion,Disagree,Disagree,Yes,Good for reproducible research,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,It is not relevant (the topics are not interesting to me),New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989
Men,35 or under,Masters or lower,Non-academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Strongly agree,Agree,Strongly disagree,Disagree,Yes,Flexible/extensible/scalable,NA,Yes,The R mailing lists,The #rstats hashtag on Twitter,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,Yes,A general user group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,963
Men,> 35,Doctorate/Professional,Academic,> 10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,"I have written my own R package and released it on CRAN or Bioconductor (or shared it on GitHub, R-Forge or similar platforms)",For both recreational and job/educational purposes.,Agree,No opinion,Disagree,Disagree,NA,Good for statistical analysis,NA,Yes,The R mailing lists,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Other (please specify),no opinion,No,NA,NA,There is no group nearby/the group is inactive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694
Women,35 or under,Masters or lower,Academic,2-5 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Strongly agree,Disagree,Strongly disagree,Disagree,Yes,Flexible/extensible/scalable,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Facebook,NA,No,NA,NA,I feel too inexperienced,NA,NA,NA,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,Mentoring (e.g. first CRAN submission/useR! abstract submission/GitHub contribution),NA,NA,NA,NA,NA,631
Men,35 or under,Masters or lower,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,I contribute to R packages (on CRAN or elsewhere),I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Agree,Agree,Disagree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326
Women,35 or under,Masters or lower,Non-academic,2-5 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Good for reproducible research,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,Other (please specify),New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406
Men,35 or under,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,Primarily as part of a job or educational course;,Agree,Strongly agree,Strongly disagree,Agree,Yes,Good for reproducible research,NA,No,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Google+,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,Free local introductory R workshops,NA,NA,NA,NA,NA,NA,NA,NA,NA,823
Men,NA,Masters or lower,Non-academic,> 10 years,No,I use functions from existing R packages to analyze data,"I write R code designed to make my work easier, such as loops or conditionals or functions",I write R functions for use by myself or my collaborators,NA,NA,NA,For both recreational and job/educational purposes.,Strongly agree,Agree,Disagree,Agree,Yes,Good for statistical analysis,NA,Yes,NA,NA,The R StackOverflow queues,NA,NA,NA,NA,NA,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
Women,NA,Doctorate/Professional,Academic,5-10 years,Yes,I use functions from existing R packages to analyze data,NA,I write R functions for use by myself or my collaborators,NA,I have written my own R package,NA,Primarily as part of a job or educational course;,Agree,Agree,Disagree,Disagree,Yes,Wide range of packages,NA,Yes,The R mailing lists,NA,NA,NA,NA,NA,NA,NA,Blog,NA,No,NA,NA,It is not necessary (I have the support I need),NA,NA,NA,NA,NA,NA,NA,NA,NA,Online forum to discuss R-related issues,NA,NA,981
Women,> 35,Masters or lower,Non-academic,< 2 years,Yes,I use functions from existing R packages to analyze data,NA,NA,NA,NA,NA,Primarily as part of a job or educational course;,No opinion,Agree,Disagree,No opinion,Yes,Free,NA,No,NA,NA,NA,NA,NA,NA,NA,I'm new to R and not aware of these support resources. So far I've just been teaching myself using free MOOCs.,Website,NA,No,NA,NA,There is no group nearby/the group is inactive,New R user group near me (specify location in comments box),New R user group near me aimed at my demographic (specify relevant group in comments box),Free local introductory R workshops,NA,R workshop at conference in my domain (specify domain/conference in comments box),NA,NA,NA,NA,NA,NA,NA,593
