"","fare_amount","tip_amount"
"7348653",20,0
"4619758",9.5,0
"558500",11.5,0
"3031571",14.5,3.82
"8465269",4.5,0
"4285479",25.5,8
"5485225",12,1
"6155891",5,1.26
"6478475",17.5,5
"5963528",10,2.2
"1663185",23,2.2
"6933791",23.5,7.25
"6294540",8.5,2.32
"1177513",7.5,1
"2652347",4.5,0
"5217181",10.5,0
"5469460",10.5,3.65
"3598911",4,1
"5728465",7.5,1.25
"6092433",6.5,0
"2647780",5.5,0.07
"3155454",13.5,0
"2978977",4.5,0
"850939",4,2
"7127974",9,2.45
"3776828",19.5,4.25
"8189949",20.5,0
"3873405",24.5,0
"5397546",35.5,4
"952770",5.5,0
"618348",9.5,1
"8314454",5.5,1.26
"6068087",3.5,0
"6258106",18.5,0
"7204548",8.5,0
"4968617",15.5,0
"3455488",10,0
"6948096",0,0
"471863",7,1
"5475373",9,0
"3857585",9,0
"458953",7,0
"7694399",8,0
"662509",6.5,1.95
"2322507",21.5,4.66
"954440",5,1.15
"3520337",6,1.45
"4099980",7.5,1.76
"3806622",23,0
"1500470",4,0.95
"2878406",28.5,5.85
"1782518",11,0
"4058103",16,0
"2212024",5.5,1.26
"5456388",8.5,2.58
"8204858",11.5,1
"1103914",27,0
"4705349",10.5,0
"5407983",5,0.5
"7996973",9.5,2.06
"568876",13.5,0
"3826996",22.5,4.75
"2264687",6,1.35
"921208",13.5,2.88
"4250539",10.5,2.26
"3224812",13,3.58
"5002850",15.5,0
"5847754",52,0
"1630031",9.5,2.05
"4530234",6.5,1.46
"7238417",10.5,2.35
"3159436",6.5,0
"983776",18.5,3.86
"4934429",3.5,0
"6591126",10,0
"7921944",6.5,0
"645135",4,0.79
"2301650",9,2.16
"7579162",84.5,0
"962148",10.5,2.26
"4635102",5.5,1.26
"7260717",9,0
"4106758",52,13.32
"2056012",52,10.56
"4125162",16.5,0
"45018",15.5,3.25
"1325257",5.5,0.7
"2931568",6,1
"3133956",7.5,1.86
"4100529",5.5,1.36
"7924607",11.5,2.45
"8165100",6,1.46
"221870",9,1
"2261554",10,0
"20840",19,0
"1597147",20.5,4.26
"2969645",5,0.94
"104425",10.5,0
"560641",6.5,2.19
"5047422",6,0
"4158472",9,1.55
"3371844",5,0
"2621547",6,0
"1192225",7.5,1.66
"6694225",4,0
"1920255",10,2.16
"7833037",12.5,2.75
"7726392",25,8
"6166917",26.5,6.7
"1279540",6,1.35
"6590451",6.5,1.46
"5816611",14,4.59
"3968977",6,1.36
"1946662",19.5,5.05
"4739192",14.5,2
"7073294",20,5.2
"821539",5.5,1.25
"3233832",7,1.65
"4311386",18.5,0
"969474",8,1.75
"223237",6.5,1.25
"7205984",6,1.56
"4734889",6,1
"339463",6,0
"7945970",25.5,1
"6022402",9,1.47
"8574861",6.5,2.19
"957833",7,0
"4655512",13,2
"6297356",7,0
"2376322",4,0
"370275",7.5,1.76
"6470110",17,0
"251128",11,2.45
"5800296",5,1
"699451",5,1.16
"3425569",5.5,1.82
"1220973",5,0
"3485583",2.5,0
"3533585",30.5,5
"1566697",36.5,7.46
"655990",17,0.92
"2528928",14,2.96
"4524447",25,6
"8618558",8,1.76
"3838372",21,4.45
"3790752",7,2.45
"7499437",6.5,1.56
"1382291",3.5,1.06
"3852968",10.5,2.35
"6647957",21,4
"5783961",14,3.16
"7205824",8.5,0
"5069834",3.5,0
"4037114",12,3.45
"7440573",11,2.55
"6265748",11.5,2.21
"7048259",6,1.36
"6634426",17.5,2.5
"886380",8,2.79
"7596064",9.5,1.8
"531229",5.5,0
"4393398",17,2
"3841425",4.5,0
"67391",7,1.95
"2942757",6.5,1.56
"3866806",12.5,0
"4150894",7.5,1
"843509",15,0
"4040706",23,4.46
"8489893",7,1.55
"8711084",17,3.66
"8068009",8.5,0
"8129807",21,2
"8666502",2.5,0
"7335694",5,1.15
"7676423",10,2.16
"483401",10,2.16
"8066561",11.5,2
"1505971",8.5,0
"3486439",8.5,1.7
"486905",4.5,1.06
"5662599",6,1
"2877309",7.5,1.66
"3762084",8,2.94
"908774",7.5,2.64
"996857",5,1.15
"6957918",3.5,2
"6256718",20,6.24
"2977591",52,0
"3513188",3,0.86
"2765234",16,0
"6131500",18,4
"5943225",12.5,3.3
"8250581",5,0
"4637898",33.5,0
"673682",15,3.25
"2928777",19.5,2.5
"3880942",9.5,1.54
"6126968",6.5,0
"3710148",8.5,0
"7293501",6.5,0
"3326719",17,3.55
"4445722",12.5,0
"204782",8,1.2
"4905662",10,2.16
"611224",14,0
"4337809",9,2.16
"6393177",4,1.15
"2589929",52,0
"3814074",6.5,0.78
"8182898",23.5,0
"976434",7.5,0
"298040",20.5,4.36
"7473463",7.5,0
"5753023",13.5,1.5
"1145978",11,3.08
"4673366",6.5,0
"6650294",4,0
"387988",21,0
"8295760",9.5,0
"2984161",5.5,0
"6765163",5.5,1
"1885605",7.5,1.66
"264082",11.5,0
"6451241",5,1.25
"2617398",14,0
"4696581",12,0
"204642",5,0
"2880501",12,1.2
"2424",11.5,2.56
"5964661",14.5,3
"3401185",30,7.3
"1234319",7,0
"1076618",7,1.76
"2811986",15,0
"5857084",10.5,2.35
"2087317",14.5,0
"2709401",14,0
"5730062",36,9.45
"2718939",7.5,1.75
"6567421",19.5,4.06
"6092527",8.5,2.06
"1911192",21,0
"269871",13,2.86
"5211951",6,1.46
"3723629",5,2.04
"8579793",12,2.56
"347419",9,0
"5452560",7.5,2.3
"4782682",5,0
"5207871",16,4.32
"8584377",8.5,1.2
"8445912",8.5,2.45
"8325214",8.5,0
"4159793",6.5,1.56
"8308262",5,1.7
"2490590",5.5,1.26
"4863849",4.5,1.05
"1640014",3.5,1.08
"392143",4.5,1.06
"839291",5.5,1.85
"4219789",11.5,0
"5571889",10,0
"7965403",9.5,2.06
"1679472",7,0
"6909967",4,0.7
"3693179",15.5,3.26
"8114985",11.5,2.56
"4320426",4.5,0
"3673138",12.5,0
"5711206",10.5,0
"7470760",10.5,2.45
"2799769",26,5.35
"3290363",12,0
"2268754",8.5,1.86
"460949",12,1.92
"7817084",9.5,0
"363451",10,2.26
"2089693",15,3.26
"6176255",5,0
"3214732",9,2.06
"1901091",22.5,0
"8505734",5.5,1
"53074",27,4.17
"575570",12,3
"5000769",9,0.98
"268916",5,0
"1771104",6.5,1.17
"6644042",9.5,4
"5360802",5,0
"3714697",15,3.36
"6487096",18,1
"4584983",6,0
"207517",6,1.56
"2870773",52,0
"4600251",4,2
"5854559",26.5,6.95
"7450618",38,13.67
"6302795",9,0
"8693251",6.5,0
"3205598",29.5,0
"1139660",6,1.82
"5856402",15.5,3.88
"3337190",5,0
"964295",9.5,0
"6230473",7,0
"3081503",6.5,1.46
"7151697",3.5,0
"8635431",8.5,1.86
"4103924",25.5,8.04
"5700385",21,5.45
"8127326",7.5,2.2
"4973049",8,1.86
"5681159",7.5,0
"5779544",9.5,2.25
"3517060",15,3.25
"7868661",23.5,0
"169187",7,0.39
"4761680",5,0
"5263267",12,0
"1999283",6,1.55
"5685550",8,2.2
"4849023",42,0
"4877968",9,1.96
"2653707",8.5,1.85
"5625666",11.5,0
"8271912",20.5,4.25
"5461699",4,1.16
"4584477",7,0
"190244",12,3.45
"3332927",11,2.36
"316459",12.5,0
"1978902",9,2.16
"5279167",52,11.7
"6577539",9.5,1
"6610054",15,0
"5741764",52,5
"4460911",8,0
"8314614",8,1.75
"163271",19,3.95
"8052986",16.5,3.65
"3418298",8,1.96
"5500261",11,3.05
"1876860",8.5,1.86
"4541572",37.5,0
"7770761",9.5,2.15
"1112656",7.5,1.86
"6328529",9,0
"1687238",10,0
"6170012",8,1
"8101682",15,3.26
"5436823",8,0
"157635",11,2.36
"6704104",11,2
"3723740",15.5,0
"3183608",2.5,0
"8476371",9,0
"1258936",9,1.95
"2860848",53.5,0
"5593631",8,1.32
"3306872",8,1.76
"1672608",13.5,5
"1851772",9.5,0
"2161790",15,4.7
"4039360",15.5,1
"4967861",22,3.5
"8038494",6,1.56
"5910762",9,2.45
"3436002",6,1.17
"1135181",13.5,0
"8632167",13,2.76
"5983222",16.5,3.46
"3710961",8,0
"165662",5.5,1.26
"4924675",15,2.37
"271395",10,0
"1276726",27,1
"7326070",10,0
"1741626",10,3.39
"2182079",13.5,0
"7743990",13,1.8
"5866055",6.5,1.56
"3075966",8,0
"4467167",7,1.65
"5358936",16.5,0
"1019580",3,0
"297858",13.5,1
"5577838",4.5,1.06
"1984106",54,12.31
"1886781",12,0
"7159663",9,0
"1718388",12.5,2.75
"7266895",15,0
"4519448",8.5,1.85
"6201939",13,0
"5651678",52,15.8
"1830277",52,0
"3353786",12.5,0
"8662258",52,8.44
"2821821",37,7.55
"1585454",24.5,5
"5260883",6.5,0
"4242725",4,1
"2659840",9.5,0
"7761755",13.5,3.06
"4275193",19,5
"3106983",22.5,4.66
"8272001",14.5,3.06
"4688946",24.5,5.16
"7862381",15,3.25
"8711992",18,3.6
"4162642",7.5,0
"5702216",13,2.76
"3118513",6.5,1.66
"4125349",41.5,5
"8038126",16.5,3.66
"5220350",13.5,2
"1422945",15.5,0
"4665541",8,1
"3164733",15,3.35
"8599845",5.5,1.89
"3159223",7,0
"3899517",16,5
"7000036",0,0
"6025036",16.5,0
"6927990",6.5,1.46
"3917455",9,1
"7383724",6.5,0
"2852983",42,8.56
"8697123",12,2.65
"8189638",12.5,0
"25126",17,0
"3066704",5.5,1.26
"7461188",15,0
"4355707",5,0
"5992931",70.5,20
"7697875",8,0
"7853269",6.5,1.56
"6261723",32,7.71
"6786761",8,0
"3743517",5.5,1.8
"3542151",23,4.86
"5949725",6,0
"2288083",5,0
"603772",9.5,0
"8547257",10.5,0
"5867008",5.5,0.8
"2972039",5.5,2
"8319057",15.5,0
"2677787",20,0
"8546857",10,0
"6885820",6.5,1.46
"4968684",28,7.01
"7376249",18.5,4.82
"8557776",6,1
"2975676",7.5,0
"2993288",52,13.2
"609201",8,0
"2858680",13.5,0
"5164787",31.5,6.66
"1347531",15,3.36
"4846732",14,0
"7696063",10,0
"2210749",5,2
"7975373",8.5,1.86
"3538166",8.5,1.96
"5000111",4,0.95
"3702576",22.5,0
"3368217",4.5,0
"8049491",7.5,2.32
"307591",20,4.25
"2008073",12,3.45
"2166867",9,1.96
"5670473",11,0
"6062341",11.5,0
"4935687",23,6
"7410924",8,0
"6366239",5,1
"4284852",29.5,7.2
"1734445",3.5,0.95
"4516808",8,1.76
"427386",3.5,0
"461967",5,1.45
"6468044",28,5.86
"5062507",36,0
"890794",21.5,4.55
"2674021",7.5,0.88
"3349705",12.5,2
"1224076",10.5,1.5
"4902047",4,0.96
"6048131",4.5,0
"842029",8.5,1.86
"5603741",11.5,1
"3471259",16,0
"361610",5,0.94
"7898198",14.5,4.55
"7318572",11.5,0
"7478221",16,0
"1646447",69.5,0
"3004062",7.5,1.65
"3969826",23,4.76
"3987772",13,1
"1905658",12,2.56
"3407882",7,1.75
"7407781",4.5,1.06
"5469230",11.5,2.65
"4920191",5,1.2
"4746489",22.5,4
"4000751",4.5,3
"7957960",4,0.95
"1469378",4.5,1.16
"6086212",9,0.2
"448679",5,0
"6335539",11,0
"1646170",52,11.46
"1119925",6.5,1.95
"982682",13,2.07
"5871777",4.5,0
"7022444",4,0
"293216",7,1.66
"2483054",4.5,1.32
"2397955",8.5,1.5
"8028527",9.5,2.82
"1802623",4.5,0
"4103273",7.5,2.64
"7862107",10,0
"4401263",13,2.86
"6501619",15.5,1
"8384636",7,0
"7252819",9.5,3.24
"1685549",5,3
"7467905",10,2.95
"1390114",7.5,0
"737139",14.5,0
"8235470",10,0
"4435741",26.5,10.07
"7361936",12.5,2.66
"1491040",7.5,1.66
"7633073",12,0
"5801721",5,1.25
"5852275",23,0
"952754",25.5,5.26
"3425143",30.5,5
"3195754",7.5,0
"1387224",4,0
"7813087",15,3.26
"6887356",5.5,1
"8529220",7.5,0
"7141565",7,1.56
"1168703",5,1.25
"6371718",10.5,2
"5117844",18.5,2.9
"7355915",5,0
"8633216",5,0
"4900674",17,0
"5431298",8,1.96
"8325506",6,0
"4401709",5.5,1.7
"4885325",9.5,2.06
"611153",6,1.46
"2823212",6.5,1.46
"5719874",31,0
"3272942",8,1.32
"5148863",5,0
"4446102",7,1
"3163141",7,1.75
"2649110",6.5,2.19
"5117076",10,0
"8495084",3.5,0
"5922190",13.5,4.25
"6131289",13.5,2.96
"5322067",18,3.76
"1615759",4.5,1.06
"5870594",52,14.64
"2231407",8.5,1
"6750410",7,0
"3200547",5.5,1.7
"4844142",9.5,3.09
"7295607",4.5,0
"1083125",17.5,5.75
"4624637",40,10
"158684",16.5,3.45
"76463",15.5,2.5
"774525",12.5,3.3
"3514550",14,1.53
"394956",4.5,1
"4757617",8,1.86
"3269358",6.5,1.46
"3785778",4,0
"1326985",4.5,0
"7497839",9.5,1.62
"8190443",22.5,4.66
"8564922",6,1.35
"2398075",11.5,0
"7708599",11.5,2.45
"795050",10,2.16
"6393046",11.5,2.65
"7083446",4,0
"4480026",6.5,0.78
"245454",16,0
"5270684",7.5,0
"7777104",9,0
"8667787",5,1.26
"4611627",9,0
"3328472",6,1.02
"3377012",13.5,0
"6310655",34.5,0
"3871448",7.5,2.2
"8117595",52,14.64
"2706139",10,2.26
"5076144",12.5,2.66
"7952832",3.5,0
"2279524",20.5,0
"8211605",8.5,2
"2578481",52,0
"5972282",5,0
"8388725",17,1.5
"3042668",9,1.96
"2718411",13.5,2.96
"3390972",19.5,0
"6698743",21,0
"80358",7,1.55
"1331246",43.5,10.01
"2655106",12,1
"1555607",26.5,5.46
"7794390",5,0.63
"8045208",13,2.95
"1944589",6,1
"227034",5.5,0
"5051363",7,0.78
"6046969",6.5,1.66
"8499433",10.5,2.25
"5381390",13.5,4.25
"6140093",7.5,1.76
"7959108",8,1.76
"7840344",8.5,2.94
"8302789",31.5,7.61
"8490271",16,0
"2888860",9,2.45
"4839236",8.5,1.85
"7682952",11,2.2
"743580",2.5,0
"551385",10,0
"5829815",52,5
"6947953",9.5,1
"8131772",7,1.66
"331090",9,1.55
"5482550",5.5,0
"3453094",4.5,0.95
"1168504",3.5,0.96
"5431965",13.5,0
"5181741",10,2.95
"4407630",6.5,1.56
"1706852",5.5,1
"963998",4.5,1.06
"5200270",3.5,0
"774721",7.5,0
"344031",13.5,0
"5112461",13,2.07
"6045563",4.5,1.85
"5186028",17.5,2.9
"1080004",6.5,1
"5737172",7,1.76
"2019600",21,5.55
"3199075",14.5,3.15
"5533190",11.5,2
"1187534",7.5,0
"7702022",22,5.7
"3302946",9,1.47
"100158",37.5,8.81
"3287442",13,1.2
"2516536",6.5,1.45
"1997602",6,1.56
"1758837",9.5,3.24
"5446418",15,2.52
"8686902",4.5,1.16
"2522421",11,2.95
"3848708",15,0
"1035264",7.5,2.45
"347111",9,2.05
"828557",9,1.8
"3801720",7,0
"711824",5.5,0
"2727265",13.5,2.96
"642045",16,3.46
"7383822",52,0
"4783774",13,2.75
"1456909",16,0
"8582946",17.5,0
"6110842",3.5,0.96
"7290937",6.5,1.46
"347776",8,0
"111646",8,1.76
"6320894",7,1.56
"7493051",6,1.45
"7665535",3.5,0
"5339439",7,0
"3193250",5.5,0
"2242813",7.5,1.5
"2034724",52,7
"3297940",11.5,0
"7117425",10,2.16
"2201189",14,4.44
"6754634",44,0
"7625264",8,0
"4474987",20,0
"696992",6.5,0.4
"7055463",11.5,2.46
"4311930",52,14.64
"4237557",13,2.76
"4212160",11.5,2.45
"2917823",5.5,1.26
"5201157",12,2.66
"2328891",19,0
"5186279",15.5,1.5
"7506841",9,0
"5471390",4.5,1.2
"4034920",7.5,0
"2261796",10,0
"7014040",11,2.46
"965546",6,0
"372263",17.5,0
"6435019",11,2.46
"8033379",3.5,0
"1717062",5.5,0
"4797026",6,1.5
"6356594",3.5,0
"6095567",8.5,0
"3192969",6.5,1.56
"1823299",22.5,0
"248372",20.5,3
"6954192",4.5,0
"430036",10,1
"4927882",14.5,2.3
"1821582",5.5,0
"2010176",12,4.14
"740557",26.5,6.61
"5506937",6,1.45
"8139366",10,2.26
"1346149",14,1.5
"2883471",12,2.56
"4993160",4.5,0
"5843427",8,0
"1395330",6.5,2
"4378954",6,1.95
"2856203",52,10
"1785649",15.5,0
"285261",8.5,0
"649829",17,0
"387673",5.5,1
"2315335",6.5,1.66
"8483657",7,1.65
"7544180",11.5,2.56
"5115522",8,1.76
"6009611",4,0
"7913364",6,1.36
"2571920",6.5,0
"3759212",10,0
"5260402",24,5.06
"7563855",21,0
"6574840",7.5,0
"426311",15.5,3.25
"512641",9,1.95
"3592010",10.5,0
"5051291",6.5,1.46
"5204948",9,2.06
"4894507",6.5,0
"1421897",13.5,2
"2954804",13,0
"7362456",3.5,0.77
"2739295",13,2.86
"2634707",12,1
"1581794",13,1
"7807870",16,3.46
"5014150",5,1.45
"1322495",7,0
"2572461",4,0
"2801669",12,2.55
"2644486",5.5,1.25
"4077769",14.5,0
"3260609",11,2.95
"5826247",15,3
"1227617",5.5,1
"3563014",13,0
"5904888",6.5,1
"7912295",22,3
"2838221",21.5,4.46
"6792007",5.5,0
"1256603",6.5,0
"4358349",6,0
"3220476",10.5,2.36
"6810119",30.5,7.5
"3030167",12.5,2.66
"3927500",7.5,0
"1164981",6.5,1.56
"5589374",9.5,2.58
"7987301",27.5,0
"867281",10,2.26
"1998601",10,2.36
"3439842",7,1
"7161085",15,3.36
"625131",34.5,8.31
"7257504",27,8.52
"2801702",20,4.16
"6982168",9.5,0
"2952881",5.5,1
"4499108",7.5,0
"2111881",5.5,0
"6429663",11.5,2.56
"8226954",7.5,0
"4340344",5.5,0
"617722",16,3.45
"8277171",13.5,2.85
"4877588",6.5,0
"4969983",7,1.65
"3714114",26.5,5.66
"480649",8,1.76
"5273102",6.5,0
"8302244",6,1.35
"5310750",11.5,1.85
"796742",5.5,2
"8551396",10.5,2.26
"5436636",16.5,3.66
"4084062",11,2.55
"3576313",8,1.75
"2839014",21,5.45
"897611",7,0
"7310821",16.5,3.45
"4236620",9,1.95
"3342942",17,0
"7135061",13,2.76
"6269956",5.5,1.25
"569501",18,0
"7164310",52,12.61
"3552115",16,4.32
"6686322",4,0
"7717280",14.5,0
"5146747",11,0
"6174948",18.5,0
"8275556",7,0
"7351435",9,1.96
"7126071",6.5,1
"5385922",13.5,0
"3254211",5,0
"7324223",10,2.16
"433198",7,1.55
"7948125",9.5,0
"4070752",4,0
"7141794",6,0
"5102521",9,0.75
"1496600",12.5,0
"5076267",8,1.76
"3237552",11.5,2.55
"4370240",10.5,2.46
"1573662",8.5,1.85
"5549803",9,0.02
"1364038",8,1.5
"6313983",35,0
"5814816",4.5,1.15
"5854386",29,6.05
"1931749",9,0
"7215961",6.5,1.2
"8186044",120,24.05
"7439627",15,3.36
"7225615",9.5,1.5
"4857549",4.5,0.7
"5460912",10,2.35
"43177",13,2.76
"3608761",13,0
"8601322",10,0
"4537533",5.5,0
"6174606",32.5,7
"3503856",30.5,6.35
"567541",7.5,0
"2186966",8.5,1
"4614436",20.5,4.26
"3978984",7,1.56
"254323",6,0
"3268655",5.5,1.25
"7601736",7,1.95
"2148925",20,4.16
"1513859",6.5,1
"38231",8.5,1
"1169640",5,1.26
"7285599",5.5,1.25
"4629336",8.5,1.7
"3417781",6.5,1.65
"4742728",13.5,2.96
"7824074",14.5,3
"7897242",8,1.76
"5751110",24.5,5.25
"8219918",40.5,9.4
"8070226",11,2.56
"2296686",5.5,1.46
"384997",6,0
"6962814",52,3
"3147329",10,1
"3726996",11,2.55
"372951",18.5,0
"418971",8.5,0
"751962",22,0
"5747631",44.5,8
"6465520",3.5,0
"5639460",20.5,4.25
"1831110",17.5,3.66
"8288466",5,0
"2715205",7.5,1.76
"8372596",10.5,0
"5856889",11,2.46
"6091108",31,7.7
"6903159",6,1
"2549218",7.5,1.65
"1683133",17,0.7
"3312162",10,2.15
"7603277",6.5,2
"8300553",30,7
"8113209",23.5,4.96
"4119013",18.5,5.94
"6913005",7,2.34
"3166291",6.5,1
"1769148",15,3.26
"2737331",6.5,1.45
"1650329",17,3.75
"3763539",11,2.56
"2975139",8,0
"2486371",19.5,5.08
"8255089",6,1.2
"8352223",24.5,1
"431360",15.5,0
"8171071",29,6.06
"1607853",4.5,1.06
"8617852",8.5,0
"8587077",6,1.35
"812045",11.5,2.45
"2697184",12,0
"5967323",14,0
"2308814",9.5,2
"8036163",8,1.96
"3757361",18,0
"1079948",7.5,1.85
"6336920",5,0
"6176514",10.5,2.35
"5731488",8,1.2
"1168851",15.5,3.36
"298935",19.5,4.16
"6408568",10,2
"4700466",13.5,3.08
"4826",9.5,2.16
"2543842",3.5,0.86
"459478",19.5,3.04
"8026014",6.5,1.66
"4139029",8.5,2.45
"172359",12,0
"1022126",8,1.75
"622606",5,0
"6221370",8,1.75
"3587465",16.5,3.45
"6306979",9,1.95
"7953283",11.5,2.3
"8494284",7,0
"1716762",5.5,1.5
"1898493",8.5,1.86
"2956196",6.5,1.56
"3631229",13.5,2
"1014363",22,4.55
"770610",32,3.9
"3622962",16.5,3.46
"1540564",3,0
"326779",5,1.25
"5869597",52,5.86
"3857405",9.5,0
"293061",19.5,4.15
"3885152",16,6
"4915637",4,0.8
"1998457",11,2
"2381450",7,0
"6703337",7,1.65
"904792",3.5,0.72
"3347883",6,1.02
"5950250",8,2
"4249725",23,5.91
"6892011",8.5,2.79
"7329807",20.5,4.25
"8274771",6,0
"122410",36,7.36
"6058886",10,1
"7540348",8,1.85
"1540046",5,1.45
"5544017",29.5,6.15
"6433358",17.5,0
"4558852",10.5,0
"1028879",6.5,1.45
"909752",6.5,2.34
"16587",10,0
"2771801",6.5,0
"969498",5,0
"1794448",11,0
"4905115",7.5,2.08
"2751796",34,7.05
"7621803",12.5,2.66
"5023125",8,1.5
"5782447",6,1.56
"1135601",28,5.86
"3180736",8,0
"2034229",4.5,1.25
"8710279",16.5,3
"211669",11.5,2.66
"567343",7,2.05
"7242506",7,1
"2331624",52,12.61
"2969829",8,0
"564715",18,0
"7575292",6.5,1
"5966232",11,0
"678281",27.5,5.75
"701620",8,1.76
"4550769",14.5,0
"875050",5,1.25
"2112791",5.5,1.36
"7227988",20,4.25
"2132019",24,6.2
"6805531",5,0
"4190225",4.5,1
"6403182",6,1
"3734732",11,0
"4155684",66,7
"8552885",3.5,0.85
"8361544",11,2.56
"6873026",18,4.7
"4523703",4.5,1
"7307067",3,0
"2791637",6,1.36
"6448380",7,0
"1469858",9.5,0
"4810274",10.5,3.35
"1336149",19,4.95
"3046930",11.5,2.45
"4846661",26,0
"288048",26.5,0
"6763936",5.5,1.7
"285381",10.5,2.36
"689520",6,1.02
"5889406",6,1.36
"7515234",7,0
"6924252",17.5,3.66
"1116409",7,0
"2249479",12,0
"321958",12.5,2.75
"573742",4,0
"1535549",35.5,8.41
"2363626",6,1.46
"6102383",52,0
"2461255",6.5,1.55
"5188112",5,1.36
"4340087",12,3.45
"7394643",24,3.25
"4206199",15,0
"7023962",7,0
"6141342",41.5,8.56
"3768359",10,2.95
"3176541",14.5,2.7
"3832005",17,0
"6385368",5.5,1.45
"4901311",8.5,1.85
"3373015",2.5,0
"31497",4,0.48
"529648",12,2.56
"5271543",27,5.66
"4606206",8.5,1.85
"347199",9.5,1.8
"5826544",9,2.58
"6585561",14,2.5
"8329665",6.5,1.65
"5866621",28.5,0
"6911066",26.5,5
"4362719",20,5.51
"4141284",12.5,0
"151710",7.5,1.66
"1851571",31,7.5
"6716422",6,1.82
"2086956",3,0
"1214099",4,0.96
"3942284",27.5,0
"5970357",6,1.36
"6374502",50,0
"6902398",4,0.96
"1947036",8.5,1.85
"4692054",4,1.3
"6048244",44.5,10.94
"5013979",14,1
"2379948",12.5,2
"6429685",37,0
"4442930",8.5,1.95
"2772056",18,0
"1287172",3,0
"5064402",4,0.95
"1531259",6.5,0
"8501775",11,2.95
"3604012",10.5,2.82
"4338460",8.5,0
"2951870",9,2.06
"8166312",13,2.86
"3454210",18.5,4.06
"121625",12,0
"5373449",12,2.56
"996036",9,0
"3717113",5.5,1
"2629188",42,8.56
"7853218",6,2
"8312191",3,0
"1455477",9,2.06
"1455184",4.5,0
"4450181",11,0
"5436746",8.5,0
"7892442",8.5,2.32
"876297",4.5,1.16
"1442060",20.5,5.45
"8617516",13.5,5
"8544723",7.5,1.66
"1439876",6,0.73
"999730",14,4.4
"249717",9,1
"8523273",7.5,1
"7364870",16.5,4.3
"5261324",10.5,0
"1118044",19,4.06
"5426056",6.5,0
"8172533",7.5,0
"7159017",54.5,14.05
"2117067",8.5,0
"1427928",18,0
"5817538",27,3.7
"7299375",7,0
"8190947",8.5,1.85
"7267555",35.5,9.2
"363825",7,1.3
"5017727",7,1
"55097",4,0
"4673756",4.5,0
"4776570",3,0
"4243048",6,1.36
"133002",40,0
"4408059",10.5,0
"3410388",9,2.15
"5915262",7.5,0
"6122817",4,1.32
"5626399",9,1.95
"2923805",18,3.75
"5002927",6,1.36
"3924303",8.5,1.86
"5025644",4.5,0
"354726",3.5,1
"1912596",7,0
"4706948",41,0
"5617719",10.5,0
"328347",5.5,1.36
"7955144",31,0
"8344768",11.5,3.32
"8561712",4.5,1.32
"1466614",10.5,0
"4591641",21.5,0
"1625351",54,12.11
"5681369",17,4.45
"2943555",11,2.45
"3454598",29.5,3
"6342406",4.5,0
"8705592",4.5,1.16
"506950",17,2.67
"3301596",9.5,0
"2081776",6,2.19
"7565259",6,1.45
"2666754",8,1.85
"6414445",6,1.45
"3433814",14,3.15
"1007193",52,11.71
"6853102",6,0
"2111546",30.5,6
"3157432",32,0
"8025950",7.5,1.85
"8369963",6.5,0
"8134775",8.5,0
"2487748",8.5,0
"2626235",29.5,4.7
"420499",31.5,6.46
"8652119",8,1.1
"8658784",74.5,10
"1251236",3.5,1
"2572980",15,0
"4670647",5.5,1.25
"904684",29.5,0
"5651032",9.5,0
"5713491",8,1
"8265189",5.5,0
"6484862",20.5,1
"8195433",11,2.36
"2739664",17.5,2.82
"2861496",8.5,0
"7523297",10,2.25
"488725",13.5,0
"3549581",33,0
"857717",6,1.46
"883998",14,0
"3871959",9,3.05
"5215367",11.5,2
"3022077",6.5,1
"7681473",6,0
"8087319",22,4.66
"218628",3.5,0
"3983431",21,10
"3718286",17,0
"1934806",8,1.75
"3710912",8.5,0.5
"2592284",52,0
"4927051",30,0
"2423147",9,2.05
"3230277",24,0
"2665066",22.5,0
"5830286",6.5,0
"7615575",9.5,0
"4726482",6,0
"6751731",9,1
"7684864",7.5,0
"6943869",5.5,1.58
"7874942",6,1
"7085618",5.5,0
"1880246",4,0
"8526980",6,1.36
"6198829",32.5,5.93
"7792917",6.5,1.55
"6947869",6.5,1.45
"1137198",10.5,2.36
"4173119",5,1.25
"2797941",0.01,0
"2551032",5.5,1.26
"5352412",44.5,0
"1929491",21,4.35
"534742",4.5,0
"578825",10.5,3.5
"6316679",5,0
"2720463",8.5,1.7
"5919813",6.5,1.46
"63284",7.5,1
"6274189",8,1.76
"673916",9.5,2.16
"4356614",7,0
"7869939",8.5,2.94
"5958901",8,0
"5665235",3.5,1.7
"6432109",26,5
"3946381",33,3
"1003698",6,0
"406622",7,1.2
"3129479",4.5,0
"6499742",5.5,1
"7808458",16,3.45
"3959723",42,4
"2079517",6.5,0
"314755",76,15.46
"813524",4.5,1.05
"7423043",9.5,2.25
"3384924",4,0.96
"5786271",17.5,2.9
"1266784",7.5,0
"4113558",5.5,0
"7503460",10.5,2.35
"2948993",12.5,2.76
"397129",6,1
"1089500",8,1
"6403989",14,3.16
"864053",5,0
"2797606",25.5,8.02
"8451256",10.5,2.36
"2509898",9,0
"115081",16,4.2
"2951627",11.5,0
"5925088",5.5,1
"4926224",27.5,6.81
"3618128",10.5,0
"4490322",14,3.82
"2106692",27,7.05
